profile_id,risk,mean,std,median,mean_rank,rank_std,top3_freq,top3_pct,top5_freq,top5_pct,top10_freq,top10_pct
P1,Model operation / Technological / Communication loss / swarm fragmentation,0.0029181999557179126,0.0004853674714907955,0.0028695660236189,37.7979797979798,3.1797331632529904,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / Concept drift,0.02293415005986346,0.003803049513056422,0.022579238887889846,14.005050505050505,5.064729967521851,0,0.0,9,4.545454545454546,51,25.757575757575758
P1,Model operation / Technological / Correlated perception errors,0.002930958488922549,0.0004898479753009671,0.0028923675715430025,37.5959595959596,3.079483073239324,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / Dynamic topology,0.0029139020133445164,0.0004830254061352362,0.0028453318103835454,37.87373737373738,3.158956670193303,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / Fallback failure / controlled degradation failure,0.0029321310229818115,0.0004804372740896596,0.0028756637193222325,37.656565656565654,3.169174815841812,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / Map inconsistency,0.022941610493606913,0.0037269375272014323,0.022386217965769156,13.808080808080808,4.733667866276375,0,0.0,8,4.040404040404041,53,26.767676767676768
P1,Model operation / Technological / Model version skew,0.0029332820974269955,0.000502969013710712,0.002888609901749415,37.64646464646464,3.213963006685996,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / On-board compute overload,0.0029481327389903125,0.0005107705617664245,0.0028273446641943574,37.39393939393939,3.2468109662979088,0,0.0,0,0.0,0,0.0
P1,Model operation / Technological / Security robustness / spoofing,0.02288820412367154,0.003574581396938117,0.022612248197419166,13.828282828282829,4.751481223681523,0,0.0,5,2.525252525252525,57,28.78787878787879
P1,Model operation / Technological / Sensor artifacts,0.022839858610953636,0.00366830463923956,0.022421023158287923,13.863636363636363,4.653291537223394,0,0.0,10,5.05050505050505,50,25.252525252525253
P1,Model training / Human / Domain shift underestimation,0.01885876075815374,0.00331384474506535,0.018446246912688896,19.373737373737374,4.216575896941001,0,0.0,1,0.5050505050505051,8,4.040404040404041
P1,Model training / Human / Incomplete validation criteria,0.0024447307102147234,0.0004695636489999074,0.0023821978146485907,41.27777777777778,4.585727871585212,0,0.0,0,0.0,0,0.0
P1,Model training / Human / Insufficient overfitting / regularization control,0.0024075443813617358,0.0004416122601168191,0.0023716274232641055,41.696969696969695,4.342541604284329,0,0.0,0,0.0,0,0.0
P1,Model training / Human / Overestimation due to data leakage / wrong splits,0.01874380348045795,0.0031895824321551323,0.018277642235947578,19.36868686868687,3.935134319698629,0,0.0,0,0.0,7,3.535353535353535
P1,Model training / Human / Reproducibility failure,0.0024088703226582994,0.00045127747731936045,0.0023521769553168015,41.7020202020202,4.512283567052371,0,0.0,0,0.0,0,0.0
P1,Model training / Human / Wrong continual/online learning approach,0.0024056788189131054,0.0004876587249789806,0.002350273851283013,41.77272727272727,4.951671856872696,0,0.0,0,0.0,0,0.0
P1,Model training / Technological / Catastrophic forgetting,0.005554461988126631,0.00064000963354512,0.005545510028750589,31.09090909090909,1.260037750684351,0,0.0,0,0.0,0,0.0
P1,Model training / Technological / Confabulations,0.06769572125414816,0.009673373695708075,0.06751498257925906,3.525252525252525,0.5288339439478151,92,46.464646464646464,198,100.0,198,100.0
