profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P2,77,18000119,True,0.09683949763467889,,
P2,78,18000120,False,0.11814556899617892,,
P2,79,18000121,True,0.04163167664434289,,
P2,80,18000122,True,0.04368232275717714,,
P2,81,18000123,True,0.04154550670516054,,
P2,82,18000124,True,0.06264929430232026,,
P2,83,18000125,True,0.05403729220814385,,
P2,84,18000126,True,0.038406546518423526,,
P2,85,18000127,False,0.11739861206305471,,
P2,86,18000128,True,0.03544432578927128,,
P2,87,18000129,True,0.039433532544847466,,
P2,88,18000130,True,0.05417134619718949,,
P2,89,18000131,True,0.04371757057400848,,
P2,90,18000132,True,0.06441019992204461,,
P2,91,18000133,True,0.07130863866288115,,
P2,92,18000134,True,0.048577678180069375,,
P2,93,18000135,True,0.0631131699325342,,
P2,94,18000136,True,0.04712483168947321,,
P2,95,18000137,True,0.036356219327461574,,
P2,96,18000138,True,0.053010952518472244,,
P2,97,18000139,True,0.05368824687241507,,
P2,98,18000140,False,0.10384349865337333,,
P2,99,18000141,True,0.03444254759995982,,
P2,100,18000142,True,0.05467010571368228,,
P2,101,18000143,True,0.049545630490321256,,
P2,102,18000144,True,0.06338939678352648,,
P2,103,18000145,True,0.059533285311214906,,
P2,104,18000146,True,0.06726099135730695,,
P2,105,18000147,True,0.03419722565276254,,
P2,106,18000148,True,0.05272675025312438,,
P2,107,18000149,True,0.09528603756442172,,
P2,108,18000150,True,0.0754157070644756,,
P2,109,18000151,True,0.051941697351830476,,
P2,110,18000152,True,0.07490262213628578,,
P2,111,18000153,True,0.035362868580866645,,
P2,112,18000154,True,0.04891691696965475,,
P2,113,18000155,True,0.04063863716121167,,
P2,114,18000156,True,0.035996986373039164,,
P2,115,18000157,False,0.12631047548053528,,
P2,116,18000158,True,0.0935616630766611,,
P2,117,18000159,True,0.07801161077012359,,
P2,118,18000160,True,0.044484160840821796,,
P2,119,18000161,True,0.042046909365695585,,
P2,120,18000162,True,0.042765792094111986,,
P2,121,18000163,True,0.035057281711281044,,
P2,122,18000164,True,0.049427604368047176,,
P2,123,18000165,True,0.058108518636140374,,
P2,124,18000166,True,0.05656282398041452,,
P2,125,18000167,True,0.09505082893199142,,
P2,126,18000168,True,0.03996996290438847,,
P2,127,18000169,True,0.037652163334500846,,
P2,128,18000170,True,0.04900021357491507,,
P2,129,18000171,True,0.04602557898082317,,
P2,130,18000172,True,0.044943182501836425,,
P2,131,18000173,True,0.033949549603496984,,
P2,132,18000174,True,0.030798540560780036,,
P2,133,18000175,True,0.07774136603037947,,
P2,134,18000176,True,0.035835217015774155,,
P2,135,18000177,True,0.06050580498632549,,
P2,136,18000178,True,0.05838597446706841,,
P2,137,18000179,True,0.03915784087736856,,
P2,138,18000180,True,0.06158199336974542,,
P2,139,18000181,True,0.05315573148608812,,
P2,140,18000182,True,0.08402994059130463,,
P2,141,18000183,True,0.048770174316240214,,
P2,142,18000184,True,0.0476566773323896,,
P2,143,18000185,True,0.02954301154462545,,
P2,144,18000186,True,0.06145284254625482,,
P2,145,18000187,True,0.04473445921897975,,
P2,146,18000188,False,0.11463774720924746,,
P2,147,18000189,True,0.09715466456654948,,
P2,148,18000190,True,0.06544227444071618,,
P2,149,18000191,True,0.07672391085915899,,
P2,150,18000192,True,0.03509983280103816,,
P2,151,18000193,True,0.036710829422457,,
P2,152,18000194,True,0.03453664031261203,,
P2,153,18000195,True,0.03292298512392894,,
P2,154,18000196,True,0.053910731245518186,,
P2,155,18000197,True,0.03921126094158209,,
P2,156,18000198,True,0.04094736169817144,,
P2,157,18000199,True,0.0316155730356746,,
P2,158,18000200,True,0.060864992697011816,,
P2,159,18000201,True,0.06760272265581842,,
P2,160,18000202,True,0.073617517489427,,
P2,161,18000203,True,0.0438877700450895,,
P2,162,18000204,True,0.0414681080092755,,
P2,163,18000205,True,0.03512764115996307,,
P2,164,18000206,True,0.04800828214550054,,
P2,165,18000207,True,0.044933460577648784,,
P2,166,18000208,True,0.03656910012523923,,
P2,167,18000209,True,0.05277129795786391,,
P2,168,18000210,False,0.133544220065379,,
